	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
56	1	True	1	[ 0.01348841]	[ 0.00012183]	7.010166286917702	[ 0.0207643]	[ 0.60179729]	1	0.009999546156079514	0.1999359256177318	[[ 0.16676186  0.75248747  0.63680986  0.21030188  0.7334531   0.61194827]]
57	1	True	2	[ 0.0149378]	[ 0.00025179]	5.942689273934047	[ 0.02969677]	[ 0.69995153]	2	0.009999718746732096	0.2499929686683024	[[ 0.6293667   0.50164549  1.06023899  0.6106673   0.4595722   1.08575441]]
58	1	True	2	[ 0.01419033]	[ 0.00023738]	5.583754294212013	[ 0.06408703]	[ 1.14347587]	2	-0.00999998044390164	-0.24999951109754098	[[ 0.43818465  0.63403546  1.15181813  0.43920872  0.59175804  1.17912321]]
59	1	True	2	[ 0.01311066]	[ 0.0002148]	5.26907984975826	[ 0.01988115]	[ 0.61020814]	2	0.009999918932060165	0.24999797330150414	[[ 0.35677662  1.07302339  1.01798079  0.35884593  1.11991182  1.04733642]]
60	1	True	2	[ 0.0139163]	[ 0.00023214]	5.486804627529874	[ 0.05863196]	[ 0.98932155]	2	-0.009999860439619198	-0.24999651099047995	[[ 0.2251723   0.34113839  1.30773438  0.22630866  0.38255909  1.32539694]]
61	1	True	2	[ 0.01420513]	[ 0.00023746]	5.6192307459808974	[ 0.04067218]	[ 1.21899685]	2	-0.009999942835126743	-0.24999857087816857	[[ 0.06182144  0.13964598  1.15073334  0.06490443  0.09168289  1.17460985]]
62	1	True	1	[ 0.01320844]	[ 0.00012107]	6.988707711595498	[ 0.05641385]	[ 1.02738417]	1	0.009999742240285988	0.19993984622339814	[[ 1.16873601  0.06760204  0.41769896  1.1420992   0.08753927  0.39361747]]
63	1	True	1	[ 0.01337124]	[ 0.00011873]	6.965522375781495	[ 0.05527384]	[ 0.96189514]	1	-0.009999159023517851	-0.19992818509572763	[[ 0.13395373  0.79242516  0.94566532  0.08662468  0.76616743  0.92294792]]
64	1	True	2	[ 0.01437226]	[ 0.00024268]	5.641233923740349	[ 0.05277881]	[ 1.19106792]	2	-0.009999704084475034	-0.24999260211187585	[[ 0.87429781  0.71012284  1.37235907  0.85374855  0.74648371  1.39436346]]
65	1	True	2	[ 0.0133998]	[ 0.0002217]	5.34003167996251	[ 0.04320942]	[ 0.94387047]	2	-0.00999974941013064	-0.24999373525326601	[[ 0.26194713  1.21479105  1.1032866   0.23933144  1.26083312  1.12993009]]
66	1	True	1	[ 0.01313062]	[ 0.00012175]	6.957313672644783	[ 0.02317322]	[ 0.71406204]	1	-0.009999861112533976	-0.19994222301456052	[[ 0.13976113  0.05952558  0.79331121  0.16570971  0.04351673  0.77506223]]
67	1	True	1	[ 0.01315008]	[ 0.00012067]	7.014613699288882	[ 0.03264424]	[ 0.93511044]	1	-0.009999933895257223	-0.1999436782687205	[[ 0.18095358  0.21294837  0.24954752  0.20058117  0.23531149  0.22009761]]
68	1	True	2	[ 0.01346558]	[ 0.00022239]	5.366538691046696	[ 0.0316525]	[ 0.61172765]	2	-0.009999905820109485	-0.24999764550273715	[[ 0.15394375  0.90583914  1.17246292  0.1611871   0.94760262  1.19275331]]
69	1	True	2	[ 0.01373831]	[ 0.00022789]	5.520453748383241	[ 0.03042135]	[ 0.91870936]	2	-0.00999993491672291	-0.24999837291807275	[[ 0.22340501  0.29846757  0.56891883  0.2294622   0.25587838  0.59230051]]
70	1	True	2	[ 0.01430871]	[ 0.00024193]	5.592145575126946	[ 0.03750685]	[ 0.6104632]	2	-0.00999993181360912	-0.249998295340228	[[ 1.12423959  1.17374889  1.51839158  1.11232823  1.20533866  1.54643751]]
71	1	True	1	[ 0.01341341]	[ 0.000124]	7.08054850182677	[ 0.04627301]	[ 1.09678196]	1	-0.009999801819058634	-0.19994103747116782	[[ 0.359556    0.16944432  0.30621078  0.38716406  0.15613139  0.28204744]]
72	1	True	2	[ 0.01378262]	[ 0.00022905]	5.461631644606658	[ 0.02931745]	[ 0.66652561]	2	-0.009999809588870931	-0.2499952397217733	[[ 0.18636678  0.33147962  1.17907155  0.18582643  0.37286348  1.19645824]]
73	1	True	1	[ 0.01329345]	[ 0.00012229]	7.049120759427073	[ 0.01952901]	[ 0.72541644]	1	0.009999188775096675	0.19992877996367042	[[ 0.13227265  0.02185675  0.4775481   0.1545622   0.00436307  0.45340157]]
74	1	True	2	[ 0.01415145]	[ 0.00023648]	5.71148437543979	[ 0.02008783]	[ 0.57682416]	2	-0.009999622335227257	-0.24999055838068143	[[ 0.92158037  0.21368127  0.62563928  0.92247889  0.17323331  0.64520491]]
75	1	True	2	[ 0.01389876]	[ 0.00023126]	5.552596137401408	[ 0.03219843]	[ 1.03108333]	2	-0.009999863471624222	-0.24999658679060555	[[ 0.15997541  0.29030386  0.72933853  0.16241245  0.24687874  0.75268169]]
76	1	True	1	[ 0.01319032]	[ 0.00011972]	6.999040613153685	[ 0.04377635]	[ 0.76233501]	1	-0.009999896063909825	-0.19994292184984494	[[ 1.11612363  0.07128127  0.72314048  1.10637517  0.1022526   0.69688899]]
77	1	True	2	[ 0.0136331]	[ 0.00022572]	5.42917146095817	[ 0.03942866]	[ 0.56650827]	2	-0.009999824832933497	-0.24999562082333743	[[ 0.16323146  0.29395983  1.02953071  0.15815135  0.33468244  1.04816809]]
78	1	True	2	[ 0.01408397]	[ 0.0002369]	5.528945768207273	[ 0.03295399]	[ 0.92560981]	2	-0.009999881119641221	-0.24999702799103052	[[ 0.92885873  1.24573061  1.41343166  0.90564088  1.27969254  1.44001041]]
79	1	True	2	[ 0.01445282]	[ 0.00024562]	5.580751859381321	[ 0.03350543]	[ 0.74418732]	2	-0.009999879987489248	-0.24999699968723121	[[ 0.80925969  1.11069586  1.74447168  0.80348885  1.14840596  1.76933715]]
80	1	True	2	[ 0.01482289]	[ 0.00025127]	5.743559172629466	[ 0.02840514]	[ 0.49013328]	2	-0.009999842650806594	-0.24999606627016485	[[ 0.04387932  0.17550164  1.78945567  0.05142984  0.21927623  1.81434246]]
81	1	True	2	[ 0.0154224]	[ 0.00026222]	6.0742656771431935	[ 0.05272351]	[ 1.62390154]	2	0.009998851996519436	0.2499712999129859	[[ 1.02446507  0.19570795  1.72286538  1.03671121  0.14118005  1.75529701]]
82	1	True	2	[ 0.01411448]	[ 0.00023726]	5.568832507953892	[ 0.03961918]	[ 1.10339913]	2	-0.009999373012328535	-0.24998432530821338	[[ 0.82409641  0.77941672  1.26388785  0.80371131  0.81493289  1.28341829]]
