	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang		meas_diff	meas_diff_restore	index	injection	restore_injection
83	1	FALSE	1	0.01247199	3.71E-09	-6.61936398	6.61936398	0.03026405	0.37793363	1	-0.009999863	-0.199942252
84	1	FALSE	2	0.01340117	1.37E-08	-5.370232938	5.370232938	0.01968954	0.23504924	2	-0.009999709	-0.249992714
85	1	FALSE	1	0.0134337	4.50E-09	6.985210922	6.985210922	0.03897729	0.42041678	1	0.009999504	0.199935077
86	1	FALSE	2	0.0140163	1.49E-08	5.55704349	5.55704349	0.03446548	0.55276645	2	0.009999995	0.249999871
87	1	FALSE	2	0.01377423	1.48E-08	-5.441531662	5.441531662	0.03887373	0.50170596	2	-0.00999967	-0.249991746
88	1	FALSE	1	0.01348364	4.53E-09	6.930120834	6.930120834	0.06816673	0.6487726	1	0.009999604	0.199937085
89	1	FALSE	1	0.01344105	4.59E-09	6.852330647	6.852330647	0.04169424	0.5888428	1	0.009999296	0.199930921
90	1	FALSE	2	0.01426538	1.57E-08	-5.605005594	5.605005594	0.03797451	0.46343966	2	-0.009999837	-0.24999592
91	1	FALSE	2	0.01477689	1.70E-08	5.726734849	5.726734849	0.02436101	0.191313	2	0.009999946	0.249998655
92	1	FALSE	1	0.01316585	4.12E-09	-6.982276601	6.982276601	0.04259244	0.3430741	1	-0.009999949	-0.199943974
93	1	FALSE	2	0.01391485	1.42E-08	-5.619178889	5.619178889	0.01742158	0.22870794	2	-0.009999765	-0.249994123
94	1	FALSE	1	0.01219536	3.48E-09	-6.506707672	6.506707672	0.03730186	0.37302721	1	-0.009999907	-0.199943137
95	1	FALSE	2	0.01365286	1.44E-08	-5.421940702	5.421940702	0.02519468	0.24523798	2	-0.009999974	-0.249999358
96	1	FALSE	2	0.01407806	1.52E-08	5.549302258	5.549302258	0.03388618	0.40920426	2	0.009999998	0.249999948
97	1	FALSE	1	0.01301298	3.95E-09	-6.913143677	6.913143677	0.01919889	0.36191231	1	-0.0099999	-0.199942997
98	1	FALSE	2	0.0144131	1.57E-08	-5.711880304	5.711880304	0.0272725	0.26529923	2	-0.009999866	-0.249996653
99	1	FALSE	2	0.01442199	1.60E-08	-5.65359944	5.65359944	0.04028644	0.50825711	2	-0.009999273	-0.249981833
