	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
21	1	[False]	1	[ 0.13186201]	4.019957250559557e-07	-70.18020703528234	[ 0.08516474]	[ 0.66512151]	1	-0.09999988570499563	-1.9994477147285346
22	1	[False]	2	[ 0.14255095]	1.480415860783115e-06	-57.4993091632068	[ 0.09317285]	[ 0.99645804]	2	-0.09999611011273707	-2.4999027528184268
23	1	[False]	2	[ 0.14899382]	1.7289587606809177e-06	-57.697164785602254	[ 0.09767731]	[ 1.0486147]	2	-0.09999949112444223	-2.499987278111056
24	1	[False]	1	[ 0.13241792]	4.134549493580851e-07	-70.14920176116742	[ 0.08878616]	[ 0.76716442]	1	-0.0999998229291812	-1.9994464595575132
25	1	[False]	2	[ 0.13466923]	1.3868457883057387e-06	-53.86567540043255	[ 0.07245632]	[ 0.82274383]	2	-0.09999162805250653	-2.499790701312663
26	1	[False]	2	[ 0.14477015]	1.6217337050848416e-06	-56.67867873327146	[ 0.11220353]	[ 1.18579279]	2	-0.09999917118038587	-2.4999792795096467
27	1	[False]	2	[ 0.14013958]	1.4205346454542858e-06	-56.82579757259106	[ 0.08498879]	[ 0.8803557]	2	-0.0999938540937455	-2.4998463523436376
28	1	[False]	2	[ 0.15115635]	1.714633233293254e-06	59.31931178038763	[ 0.08616014]	[ 0.89136932]	2	0.09999994125408884	2.499998531352221
29	1	[False]	1	[ 0.13131022]	3.9480319144932996e-07	-70.0694065678851	[ 0.12157541]	[ 1.16823339]	1	-0.09999892164395385	-1.9994284388100347
30	1	[False]	2	[ 0.13911246]	1.3788621917170507e-06	-56.850852081457326	[ 0.08760016]	[ 0.811466]	2	-0.09999793810108931	-2.499948452527233
31	1	[False]	2	[ 0.14945549]	1.7063449064697333e-06	-58.44993182690152	[ 0.09273139]	[ 1.01289614]	2	-0.09999685426215871	-2.4999213565539677
32	1	[False]	2	[ 0.1450381]	1.6478761927841341e-06	-56.327050563020336	[ 0.11189673]	[ 1.14548704]	2	-0.0999980925549961	-2.4999523138749025
33	1	[False]	2	[ 0.15329188]	1.7806971845429895e-06	59.38522836623889	[ 0.07218895]	[ 1.08090578]	2	0.09999559693867029	2.4998899234667573
